Instance;Size;#Tiles;Value;#Clauses;#Variables;TimeR;MemoryMad;TimeMad;MemoryMer;TimeMer;MemoryBFS;TIMEBFS
103;20;7;2;2374;723;0.21;1916.9;1800.14;3957.9;627.43;395.6;1800.1
104;20;7;2;2504;796;0.82;1936;1800.08;3955.1;646.3;601.2;1800.04
105;16;7;2;1520;493;0.25;1935;1800.17;3952.2;704.36;1530.1;1800.09
106;15;7;2;1966;624;0.90;2300.8;461.16;3902.7;558.87;6415.3;1514.05
107;12;7;2;1170;404;1.15;1743.5;1800.1;3618.4;627.24;4492.2;1800.19
108;20;7;2;2092;684;1.05;2355.6;894.65;4090.5;705.1;854.1;1800.07
109;12;7;2;1072;377;0.85;2098;1800.14;3951.9;669.76;3430.4;1800.14
110;20;7;2;2903;861;0.13;1939.4;1800.13;4088.1;598.22;6414.9;704.67
111;12;8;2;1525;530;0.71;2290.7;512.63;3882.3;817.05;2832.3;1800.23
112;12;8;2;1462;509;1.00;2300.7;716.1;3933.6;1105.49;327.1;1800.07
113;12;8;2;1371;480;0.73;2274.3;740.56;4062.8;854.91;392.8;1800.04
114;12;8;2;1529;533;0.80;1475.4;318.05;3875.1;756.14;4736.3;1800.21
115;16;8;2;2224;734;0.38;2138.7;1800.1;3941.8;668.64;565.4;1800.1
116;20;8;2;2533;817;0.73;2331.4;714.06;3932.7;748.28;1039.5;1800.16
117;12;8;2;1418;479;1.03;1780.4;1800.14;4075.8;1010.89;417.7;1800.04
118;15;8;2;2107;698;0.50;2378.2;576.1;4091.6;683.43;857.2;1800.12
119;15;8;2;1828;603;0.81;1955.8;1800.13;4087.5;681.39;2883.9;1800.18
120;16;8;2;2031;672;0.61;2234.7;1800.18;4089.7;685.48;779.9;1800.05
121;12;8;3;1544;520;1.03;1931.4;1800.13;3961.7;655.8;429.6;1800.08
122;16;8;3;2333;763;0.13;1906.1;1800.14;4090.2;701.63;579.1;1800.09
123;20;8;3;3114;982;0.37;1519.3;109.24;3943.8;655.45;917.1;1800.14
124;12;8;3;1512;532;1.48;1739.2;1800.17;3931.5;654.58;350.7;1800.07
